NSC,SMILES
224,"CC(=S)N1CCCCC1"
225,"CC(=O)c1cccc2c(cccc12)C(=O)C"
226,"CCOC(=O)CCCCCN"
227,"Cc1ccc(cc1)S(=O)(=O)Cc2ccccc2"
228,"NC(CCCCCCC(N)C(=O)O)C(=O)O"
229,"Sc1cccc2c(S)cccc12"
230,"CC(=C)CC(C)(O)c1cccc2ccccc12"
231,"Nc1ccc(cc1)C(=O)\C=C\c2ccccn2"
232,"CN(C)CCC#N"
233,"CCOC(=O)CC(C(=O)C)C(=O)OCC"
234,"CCC\C=C(/C)\C#CC1=CCCCC1"
235,"CC(=O)OCCC#N"
236,"CCOC(=O)N1CCCCC1"
237,"O=C(OCCC#N)c1ccccc1"
238,"CC12CCCCC1C3=C(CCCC3)CC2"
239,"CC(=O)N1CCCCC1"
240,"C1CCc2c(C1)ccc3CCCCc23"
241,"CCCCOCOCCCC"
242,"[Pb+2].COC(=O)CCCCCCCCCCS"
243,"CC(=O)CC(SCCSCCSC(CC(=O)C)c1ccccc1)c2ccccc2"
244,"COC(C([Hg]Br)C(=O)OC1CC2CCC1(C)C2(C)C)c3ccccc3"
245,"O=C(CC(c1ccccc1)(c2ccccc2)c3ccccc3)c4ccccc4"
246,"CC(C)CSC(=S)C"
247,"Nc1ccc(Cl)c(Cl)c1"
248,"OP(=O)(O)F"
249,"C\C(=N/NP(=O)(Oc1ccccc1)Oc2ccccc2)\c3ccc(Cl)cc3"
250,"NP(=O)(N)c1ccccc1"
251,"Nc1ncnc(N)n1"
252,"NS(=O)(=O)N"
253,"NN.OB1OB(OB2OB(O)O2)O1"
254,"O=P(NC1CCCCC1)(Oc2ccccc2)Oc3ccccc3"
255,"CCCCOP(=O)(N1CCOCC1)N2CCOCC2"
256,"CCOP(=O)(N)c1ccccc1"
257,"Cc1nc(N)nc(N)n1"
258,"NNP(=S)(NN)c1ccccc1"
259,"NNC(=S)NNc1ccccc1"
260,"CCNS(=O)(=O)NCC"
261,"CC(=O)CC(C)(C)NNC(=S)N"
262,"O=P(Nc1ccccc1)(Nc2ccccc2)Nc3ccccc3"
263,"OS(=O)(=O)N(S(=O)(=O)O)S(=O)(=O)O"
264,"NNC(=O)C(=O)NN"
265,"Oc1ccccc1\C=N\NC(=O)Nc2nnn[nH]2"
266,"NC(=O)NNC(=O)NNC(=O)N"
267,"NC(=S)N\N=C\c1ccccc1"
268,"C\C(=N/NC(=S)N\N=C(/C)\c1ccccc1)\c2ccccc2"
269,"C\C(=N/N=C(\C)/c1ccc(Cl)cc1)\c2ccc(Cl)cc2"
270,"CCOC(=O)Nc1nnn[nH]1"
271,"CS(=O)(=O)N"
272,"CCOC(=O)NC(=O)N"
273,"N#Cc1c2ccccc2nc3ccccc13"
274,"Clc1ccc(cc1)C(=O)C(=O)c2ccc(Cl)cc2"
275,"O=C(NCCCCCCNC(=O)c1ccccc1)c2ccccc2"
276,"O=C(CC(N1CCN(Cc2ccccc2)CC1)C(=O)c3ccccc3)c4ccccc4"
277,"OC(=O)c1ccc(Cl)nc1"
278,"OC1=C(C2CCCCC2)C(=O)c3ccccc3C1=O"
279,"O=C(C(Cc1ccccc1)N2CCCCC2)c3ccccc3"
280,"CCCCN(CCCC)CCCNc1c2CCCCc2nc3ccccc13"
281,"Clc1cc(Cl)c2[nH]c(cc2c1)c3ccccc3"
282,"NNc1ccccc1C(=O)O"
283,"Nc1cc(N)cc(c1)[N+](=O)[O-]"
284,"Nc1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-]"
285,"CC1(C)C2CCC1(C)C(=O)C2=O"
286,"Cc1cccc(c1N)[N+](=O)[O-]"
287,"CCOC(OCC)c1ccccc1"
288,"NNc1ccc(I)cc1C(=O)O"
289,"Cc1ccc(Br)c(c1)[N+](=O)[O-]"
290,"Brc1cc(Br)c2[nH]c(cc2c1)c3ccccc3"
291,"O=C1OC(=N/C/1=C\c2ccccc2)c3ccccc3"
292,"CC1CCOCO1"
293,"Cc1cc(ccc1I)[N+](=O)[O-]"
294,"Cc1ccc(I)c(c1)[N+](=O)[O-]"
295,"OC(=O)CCCc1ccccc1"
296,"Cc1ccc(O)c(c1)C(=O)c2ccccc2"
297,"Cc1cc(ccc1O)C(=O)c2ccccc2"
298,"OC(=O)\C(=C/c1ccccc1)\C#N"
299,"CC(=O)Nc1ccc(I)cc1C(=O)O"
