NSC,MolWt,ExactMolWt,MolLogP,TPSA,NumHDonors,NumHAcceptors,NumRotatableBonds,HeavyAtomCount,RingCount,NumAromaticRings,FractionCSP3,MolMR
77213.0,221.304,221.152812228,1.0487999999999995,53.16,3,3,5,16,1,1,0.4166666666666667,64.94360000000003
79037.0,233.69899999999996,233.093104432,2.2509000000000006,61.77,1,3,4,15,1,0,0.8888888888888888,58.62570000000003
82151.0,527.5260000000003,527.179146128,1.0288999999999997,185.83999999999997,5,11,4,38,5,2,0.4444444444444444,130.3426
85998.0,265.222,265.09099982000004,-3.048299999999999,159.76,5,8,7,18,0,0,0.75,57.04790000000003
92859.0,395.682,395.65587372,-1.9336000000000002,55.38000000000001,0,6,0,10,4,0,0.0,29.525999999999996
102816.0,244.207,244.080769484,-3.167999999999999,143.72,4,8,2,17,2,1,0.625,53.71380000000002
105014.0,285.69100000000003,285.06286692399993,-0.29740000000000044,119.31000000000002,3,7,2,19,3,2,0.5,66.36500000000001
109724.0,261.08899999999994,260.02481971,1.884,41.57,1,2,5,14,1,0,1.0,59.19120000000003
118218.0,285.235,285.08733208399997,-1.8409000000000002,139.54000000000002,4,8,2,20,3,2,0.5,62.702800000000025
122758.0,300.44200000000006,300.208930136,5.602600000000005,37.3,1,1,5,22,1,0,0.45,93.76180000000005
122819.0,656.662,656.156362084,2.7529000000000003,160.83,3,14,6,46,8,3,0.46875,155.94339999999974
123127.0,543.5250000000003,543.174060748,0.0012999999999999123,206.06999999999996,6,12,5,39,5,2,0.4444444444444444,131.75440000000003
125066.0,1415.5760000000005,1414.5184321280901,-7.703580000000028,627.07,20,31,35,96,6,4,0.6181818181818182,338.7773000000003
125973.0,853.9180000000001,853.3309553119999,3.735700000000003,221.29,4,14,10,62,7,3,0.44680851063829785,217.69009999999938
127716.0,228.20799999999997,228.085854864,-2.1388,123.49000000000001,3,7,2,16,2,1,0.625,52.32400000000002
138783.0,358.2690000000001,357.10108227200004,3.2646000000000024,58.36000000000001,1,3,9,23,2,2,0.5,94.94080000000007
141540.0,588.5620000000001,588.1842910839998,1.338599999999999,160.83,3,13,5,42,7,2,0.5517241379310345,138.34539999999996
169780.0,268.27299999999997,268.117154992,-2.708299999999996,98.82,2,6,3,19,2,0,0.6363636363636364,63.77440000000002
180973.0,371.524,371.224914548,5.9961000000000055,12.47,0,2,8,28,3,3,0.23076923076923078,119.58200000000004
218321.0,268.273,268.117154992,-1.1797999999999997,112.13,4,7,2,19,3,1,0.6363636363636364,64.96110000000003
226080.0,914.1869999999997,913.5551415880002,6.180600000000008,195.42999999999998,3,13,6,65,4,0,0.7450980392156863,245.13739999999908
241240.0,369.2340000000002,369.02884789999996,-3.5271999999999997,108.77999999999999,2,6,2,13,1,0,0.6666666666666666,34.6728
246131.0,723.65,723.2138748719999,2.462200000000001,215.21999999999997,5,13,10,51,5,2,0.5,165.16289999999972
256439.0,497.5000000000003,497.1685814439999,1.020299999999999,176.60999999999999,5,10,3,36,5,2,0.4230769230769231,123.79060000000004
256942.0,543.5250000000003,543.174060748,0.0012999999999999123,206.06999999999996,6,12,5,39,5,2,0.4444444444444444,131.75440000000003
266046.0,395.27200000000016,395.044497964,-3.1108999999999982,80.8,2,6,0,15,2,0,0.75,42.32940000000002
279836.0,444.4880000000002,444.2008846159999,-0.1392,163.18,8,10,12,32,3,2,0.36363636363636365,119.96900000000002
296961.0,214.22699999999998,214.05409996999998,-0.2492999999999997,95.58,4,4,7,12,0,0,1.0,51.04320000000003
